_id,ciudad,consumo promedio (enero a agosto de 2016)
56,Zacatecas-Guadalupe,44967.666666666664
137,Fresnillo,79917
55,Mérida,87477.8
361,San Andrés Tuxtla,50941
49,Poza Rica,38865.8
50,Orizaba,11296.25
53,Córdoba,30757
54,Acayucan,14088.333333333334
46,Tlaxcala-Apizaco,9666.947368421053
43,Reynosa-Río Bravo,137488.5
344,Ciudad Mante,47213
41,Villahermosa,143096
123,Cárdenas,71308
336,San Luis Río Colorado,70909
348,Ciudad Victoria,127583
335,Puerto Peñasco,30267
334,Heroica Nogales,85397
326,Agua Prieta,30342
323,Guamúchil,31316
205,Valle de Santiago,53639
20,Tula,15974.2
71,San Luis de la Paz,34151
15,San Francisco del Rincón,33039.5
45,Nuevo Laredo,130935
4,La Laguna,93294.5
40,Guaymas,37837
16,Moroleón-Uriangato,26058
17,Acapulco,135243
212,Zihuatanejo,58565
197,Cortazar,31125
44,Matamoros,173171
194,Acámbaro,45553
48,Xalapa,40738.142857142855
13,Valle de México,84046.8552631579
58,Tianguistenco,6994.166666666667
186,Nuevo Casas Grandes,26024
181,Delicias,56678
47,Veracruz,74247.6
11,Juárez,417216
106,Acatzingo de Hidalgo,7852
180,Cuauhtémoc,74646
254,Ciudad Hidalgo,42945
264,Sahuayo de Morelos,36718
182,Hidalgo del Parral,43288
148,Ciudad Acuña,50561
198,Dolores Hidalgo Cuna de la Independencia Nacional,42613
63,Campeche,103062
57,Celaya,74492
172,San Cristóbal de las Casas,68515
14,León,281177
3,Mexicali,376269
31,Monterrey,119112.69230769231
144,La Paz,111564
38,San Luis Potosí-Soledad de Graciano Sánchez,208144
7,Piedras Negras,36186
308,Ciudad Valles,62146
27,La Piedad-Pénjamo,47136.5
65,Manzanillo,81255
10,Tuxtla Gutiérrez,93916.33333333333
30,Tepic,90131
8,Colima-Villa de Álvarez,30621.8
134,Túxpam de Rodríguez Cano,59520
301,San Juan del Río,105401
2,Tijuana,220618.66666666666
62,Cabo San Lucas,108913
281,Linares,32602
145,Ciudad del Carmen,92803
5,Saltillo,103245.33333333333
1,Aguascalientes,122959
25,Morelia,120985.66666666667
333,Navojoa,53339
160,Comitán de Domínguez,55526
314,Los Mochis,153856
69,Irapuato,166111
66,Tapachula de Córdova y Ordóñez,122030
12,Chihuahua,110142.33333333333
21,Guadalajara,194044.625
73,Chilpancingo de los Bravo,96782
6,Monclova-Frontera,39969
42,Tampico,68235.4
98,Zitácuaro,51497
34,Puebla-Tlaxcala,27398.05128205128
268,Zacapu,30198
9,Tecomán,27103.5
215,Taxco de Alarcón,40136
51,Minatitlán,21109.666666666668
224,Arandas,34320
228,Ciudad Guzmán,42269
52,Coatzacoalcos,53082.666666666664
127,Huamantla,24481
234,Lagos de Moreno,60456
23,Ocotlán,27199.5
22,Puerto Vallarta,96578
201,Salamanca,101989
119,Chetumal,85344
104,San Juan Bautista Tuxtepec,58065
242,Tepatitlán de Morelos,60884
195,San Miguel de Allende,57382
24,Toluca,40661.73333333333
252,Apatzingán de la Constitución,48357
59,Teziutlán,21455
286,Heroica Ciudad de Huajuapan de León,31123
154,Sabinas,25607
26,Zamora-Jacona,52056.5
94,Ciudad Lázaro Cárdenas,75224
95,Uruapan,121563
132,Martínez de la Torre,28529.5
327,Heroica Caborca,35105
29,Cuautla,32313
188,Victoria de Durango,203157
28,Cuernavaca,50234
287,Heroica Ciudad de Juchitán de Zaragoza,31817
32,Oaxaca,12454.5
33,Tehuantepec,21006.333333333332
35,Tehuacán,57015
211,Iguala de la Independencia,60205
294,Atlixco,55437
260,Pátzcuaro,32984
303,Cozumel,36221
36,Querétaro,118394.5
37,Cancún,146836.5
305,Playa del Carmen,116952
19,Tulancingo,25736.333333333332
39,Ríoverde-Ciudad Fernández,26011.5
18,Pachuca,33273.71428571428
310,Matehuala,35446
68,Guanajuato,60931
321,Mazatlán,188201
